link,email
http://test.sportstation.fit/#/confirm-registration?code=dfcf9913-d574-473d-bd43-f3470e8a0e94&email=1_user_test@yopmail.com&lang=en,1_user_test@yopmail.com
http://test.sportstation.fit/#/confirm-registration?code=282e2e6d-7c0d-421f-9780-48dd9fbd7efb&email=2_user_test@yopmail.com&lang=en,2_user_test@yopmail.com
http://test.sportstation.fit/#/confirm-registration?code=66354f12-8084-47b1-80d5-da2dba616821&email=3_user_test@yopmail.com&lang=en,3_user_test@yopmail.com
http://test.sportstation.fit/#/confirm-registration?code=b98c143a-141d-4bbc-a5a0-f443022f1ad5&email=4_user_test@yopmail.com&lang=en,4_user_test@yopmail.com
http://test.sportstation.fit/#/confirm-registration?code=34b6c0a2-cc44-41a6-8490-f2cb167f1150&email=5_user_test@yopmail.com&lang=en,5_user_test@yopmail.com
http://test.sportstation.fit/#/confirm-registration?code=38f97f19-a341-447b-a78d-c250ad3c3589&email=6_user_test@yopmail.com&lang=en,6_user_test@yopmail.com
http://test.sportstation.fit/#/confirm-registration?code=d3951470-3cab-49b7-904b-8fa2450cbec1&email=7_user_test@yopmail.com&lang=en,7_user_test@yopmail.com
http://test.sportstation.fit/#/confirm-registration?code=1762f280-4196-4ecf-872f-4aa87322b487&email=8_user_test@yopmail.com&lang=en,8_user_test@yopmail.com
http://test.sportstation.fit/#/confirm-registration?code=bf0a4e2b-1ecc-4159-a3c7-907e89d6616b&email=9_user_test@yopmail.com&lang=en,9_user_test@yopmail.com
http://test.sportstation.fit/#/confirm-registration?code=e8d13515-f555-4a22-843f-ac32bc03a892&email=10_user_test@yopmail.com&lang=en,10_user_test@yopmail.com
http://test.sportstation.fit/#/confirm-registration?code=e51f7ab1-9a2c-4ea4-98cc-0a76a6238690&email=11_user_test@yopmail.com&lang=en,11_user_test@yopmail.com
http://test.sportstation.fit/#/confirm-registration?code=a26e1f03-5581-409c-b1e3-6f3f41a7084a&email=12_user_test@yopmail.com&lang=en,12_user_test@yopmail.com
http://test.sportstation.fit/#/confirm-registration?code=2612d090-020e-4256-bd5b-5708ca215d6b&email=13_user_test@yopmail.com&lang=en,13_user_test@yopmail.com
